,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
4122,2017-03-14,9720.53,9767.66,9720.53,9744.21,4677117,Y9999
4123,2017-03-15,9714.58,9749.01,9741.29,9740.31,3889942,Y9999
4124,2017-03-16,9768.85,9842.17,9768.85,9837.83,4560309,Y9999
4125,2017-03-17,9835.51,9908.69,9845.59,9908.69,4951138,Y9999
4126,2017-03-20,9869.35,9916.18,9905.81,9912.97,4203851,Y9999
4127,2017-03-21,9918.39,9976.61,9923.18,9972.49,4552153,Y9999
4128,2017-03-22,9843.07,9922.66,9911.96,9922.66,4437300,Y9999
4129,2017-03-23,9897.45,9945.24,9921.97,9930.74,4726452,Y9999
4130,2017-03-24,9892.31,9932.68,9914.12,9902.98,4184614,Y9999
4131,2017-03-27,9859.53,9917.85,9907.6,9876.77,4199023,Y9999
4132,2017-03-28,9799.28,9924.14,9909.99,9876.45,4833690,Y9999
4133,2017-03-29,9831.63,9906.76,9887.0,9856.25,4341930,Y9999
4134,2017-03-30,9836.33,9878.62,9869.28,9848.15,4255899,Y9999
4135,2017-03-31,9811.52,9869.65,9846.38,9811.52,4182990,Y9999
4136,2017-04-05,9856.44,9949.48,9856.44,9949.48,4994427,Y9999
4137,2017-04-06,9879.85,9946.66,9946.66,9897.8,4127687,Y9999
4138,2017-04-07,9788.52,9900.88,9892.98,9873.37,4664377,Y9999
4139,2017-04-10,9859.03,9898.64,9880.29,9882.54,4447518,Y9999
4140,2017-04-11,9820.41,9896.59,9881.53,9832.42,4489653,Y9999
4141,2017-04-12,9789.59,9837.19,9831.56,9817.68,4590275,Y9999
4142,2017-04-13,9800.8,9868.45,9808.83,9836.68,4547938,Y9999
4143,2017-04-14,9730.94,9808.33,9806.15,9732.93,4501756,Y9999
4144,2017-04-17,9670.11,9762.47,9740.81,9716.4,4208924,Y9999
4145,2017-04-18,9727.26,9771.07,9735.76,9746.56,3700798,Y9999
4146,2017-04-19,9631.64,9725.39,9725.39,9639.94,4375018,Y9999
